Triggers Required,Base Mult,Target Base Mult,Calculated Score,Logarithmic Distance,Relative Precision,Steel Cards in Hand,Non-Steel Cards in Hand,Total Cards in Hand,Copy Jokers on Baron,Copy Jokers on Mime,Triggers per Steel Card,Triggers per Non-Steel Card,Triggers from Cards,Triggers from Jokers,Total Triggers
876,1.4875,1,8.12504685697989E+307,0.34488968569115700000,0.4623,43,1,44,3,1,20,16,876,0,876
875,2.2312,2,1.44445277457420E+308,0.09501221247455760000,1.0222,43,1,44,2,2,20,15,875,0,875
874,3.3468,3,1.44445277457420E+308,0.09501221247455760000,1.0222,42,2,44,3,1,20,16,872,2,874
873,5.0202,5,1.78327503033852E+308,0.00349723135320801000,2.4563,42,2,44,3,1,20,16,872,1,873
872,7.5303,7,1.55343069309489E+308,0.06342367810810860000,1.1977,42,2,44,3,1,20,16,872,0,872
871,11.2954,11,1.70489899196809E+308,0.02301690593151310000,1.6380,42,2,44,2,2,20,15,870,3,873
870,16.9431,16,1.60313734414630E+308,0.04974482904748360000,1.3033,42,2,44,2,2,20,15,870,2,872
869,25.4146,25,1.73951534738097E+308,0.01428729512662130000,1.8450,41,3,44,3,1,20,16,868,1,869
868,38.1219,38,1.78621167048400E+308,0.00278263734844586000,2.5555,41,3,44,3,1,20,16,868,0,868
867,57.1829,57,1.78621167048400E+308,0.00278263734844586000,2.5555,41,3,44,2,2,20,15,865,2,867
866,85.7743,85,1.76538139177824E+308,0.00787701537620933000,2.1036,41,3,44,2,2,20,15,865,1,866
865,128.6615,128,1.77925466961290E+308,0.00447744562040953000,2.3490,41,3,44,2,2,20,15,865,0,865
864,192.9923,192,1.77925466961290E+308,0.00447744562040953000,2.3490,40,4,44,3,1,20,16,864,0,864
863,289.4884,289,1.79163205609494E+308,0.00146673562579736000,2.8336,43,0,43,2,2,20,15,860,3,863
862,434.2326,434,1.79576738548958E+308,0.00046548022521619700,3.3321,43,0,43,2,2,20,15,860,2,862
861,651.3490,651,1.79576738548958E+308,0.00046548022521619700,3.3321,43,0,43,2,2,20,15,860,1,861
860,977.0235,977,1.79760683979717E+308,0.00002084803543311860,4.6809,43,0,43,2,2,20,15,860,0,860
859,1465.5352,1465,1.79638043230102E+308,0.00031724420409773300,3.4986,42,1,43,3,1,20,16,856,3,859
858,2198.3028,2198,1.79719799079871E+308,0.00011963552077531900,3.9221,42,1,43,3,1,20,16,856,2,858
857,3297.4541,3297,1.79719799079871E+308,0.00011963552077531900,3.9221,42,1,43,3,1,20,16,856,1,857
856,4946.1812,4946,1.79756140983439E+308,0.00003182386785738350,4.4972,42,1,43,3,1,20,16,856,0,856
855,7419.2718,7419,1.79756140983439E+308,0.00003182386785738350,4.4972,42,1,43,2,2,20,15,855,0,855
854,11128.9077,11128,1.79739988572711E+308,0.00007085017318786410,4.1497,41,2,43,3,1,20,16,852,2,854
853,16693.3616,16693,1.79761525281624E+308,0.00001881548905657840,4.7255,41,2,43,3,1,20,16,852,1,853
852,25040.0424,25040,1.79768704471307E+308,0.00000147128707794764,5.8323,41,2,43,3,1,20,16,852,0,852
851,37560.0636,37560,1.79768704471307E+308,0.00000147128707794764,5.8323,41,2,43,2,2,20,15,850,1,851
850,56340.0954,56340,1.79768704471307E+308,0.00000147128707794764,5.8323,41,2,43,2,2,20,15,850,0,850
849,84510.1432,84510,1.79768704471307E+308,0.00000147128707794764,5.8323,40,3,43,3,1,20,16,848,1,849
848,126765.2147,126765,1.79768704471307E+308,0.00000147128707794764,5.8323,40,3,43,3,1,20,16,848,0,848
